"word1","word2","n"
"unattended","cigarette",1001
"vending","machine",1001
"hpd","section",1000
"traffic","condition",997
"travel","conditions",997
"york","metro",997
"food","establishments",996
"food","protection",996
"protection","courses",996
"counseling","support",992
"report","domestic",992
"violations","issued",976
"public","library",973
"choice","voucher",965
"hcv","program",965
"housing","choice",965
"tax","liens",965
"taxes","water",965
"unpaid","property",965
"voucher","hcv",965
"defer","property",958
"experiencing","hardship",958
"homeowners","experiencing",958
"car","service",955
"catch","basin",953
"real","property",951
"adults","children",950
"children","seniors",950
"insurance","programs",950
"household","garbage",940
"limousine","ambulette",940
"highway","bridge",939
"eatery","schedule",937
"eligibility","obligations",934
"item","lost",934
"obligations","payments",934
"payments","enforcement",934
"correction","custody",932
"medical","attention",932
"locations","hours",925
"age","18",920
"housing","options",910
"fares","nyc",892
"including","medical",892
"medical","concerns",892
"nyc","program",892
"shelter","system",892
"city","parking",876
"agency","record",874
"foil","request",874
"information","law",874
"law","foil",874
"dumpster","garbage",871
"sanitation","vehicle",870
"appeals","bail",864
"bail","summonses",864
"city","sidewalks",864
"criminal","courts",864
"free","repair",864
"hours","arrests",864
"qualifying","city",864
"roots","request",864
"severely","damaged",864
"sidewalk","tree",864
"status","appeals",864
"tree","consultation",864
"tree","roots",864
"violence","services",864
"physical","disabilities",861
"food","spoiled",835
"adult","age",830
"adult","protective",830
"protective","services",830
"prepay","tolls",826
"city","park",818
"resources","referrals",813
"recycling","stored",799
"bridge","condition",795
"bridge","maintenance",795
"request","bridge",795
"green","taxi",788
"main","shutdowns",788
"scheduled","water",788
"water","disruptions",788
"expense","statement",785
"including","utilities",785
"income","producing",785
"producing","properties",785
"properties","including",785
"property","income",785
"idnyc","card",784
"dead","tree",777
"standing","dead",777
"untidy","yard",766
"yard","alley",766
"online","business",758
"online","service",758
"illegal","drugs",748
"fire","department",745
"unpaid","parking",744
"corrections","facility",743
"pay","property",743
"person's","trash",743
"placing","trash",743
"tax","debt",743
"street","sign",739
"recreation","center",737
"round","schedule",736
"sell","food",736
"age","65",733
"seniors","age",733
"disabilities","living",723
"rent","increases",723
"rent","stabilized",723
"cell","phone",711
"judgment","debt",708
"enrollment","coverage",707
"insurance","program",707
"day","care",699
"gas","service",696
"reconnect","gas",696
"medicare","recipients",691
"recipients","seniors",691
"fire","hazard",690
"potential","fire",690
"guard","dog",688
"loss","theft",688
"report","loss",688
"gas","related",685
"paratransit","transportation",684
"dog","license",683
"request","register",683
"normal","process",676
"main","break",674
"card","information",673
"damaged","card",673
"updating","idnyc",673
"photograph","vehicles",669
"consumer","affairs",667
"marriage","record",665
"report","broken",665
"agency","charges",662
"charges","fees",662
"lost","property",658
"police","report",658
"social","services",655
"owned","businesses",651
"annual","registration",648
"commercial","spaces",648
"floor","commercial",648
"ground","floor",648
"women","owned",646
"rent","freeze",645
"broken","equipment",643
"equipment","unclean",643
"park","pool",643
"pool","recreation",643
"unclean","conditions",643
"abandoned","building",641
"business","owners",641
"report","mold",641
"school","zones",638
"vehicles","speeding",638
"criminal","mischief",636
"damaged","property",636
"mischief","vandalism",636
"report","criminal",636
"report","barbecuing",629
"residential","barbecuing",629
"alcohol","addiction",627
"alcohol","rehab",627
"drug","alcohol",627
"facility","complaint",627
"rehab","facility",627
"speed","camera",627
"report","garbage",626
"violation","judgment",626
"licensed","professional",624
"court","document",622
"damaged","sidewalk",622
"dumpster","trash",622
"mobile","app",621
"red","light",619
"8","assistance",616
"receiving","section",616
"disorderly","person",615
"street","construction",615
"active","street",613
"car","accident",613
"repair","permit",613
"sidewalk","repair",613
"black","car",612
"blocked","defective",612
"clogged","blocked",612
"curb","piece",612
"senior","age",612
"block","lot",608
"borough","block",608
"lot","bbl",608
"bus","lane",606
"camera","notice",606
"lane","red",606
"liability","nol",606
"owners","entrepreneurs",603
"cable","service",598
"street","parking",598
"telephone","internet",598
"found","property",583
"report","lost",583
"biking","lane",574
"loose","debris",574
"metered","parking",574
"employee's","behavior",573
"sanitation","employee's",573
"business","certificates",571
"certificates","divorce",571
"court","notary",571
"divorce","court",571
"document","maintenance",571
"freeze","issue",571
"notary","verification",571
"supreme","court",571
